Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
soybean-large-preprocessed;DPSO (Grid-Search Best);6;1875;75%;c1:2.5,c2:2.5;0.09749646124758225;0.8792173453199364;28;162.2934765815735;1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);6;2500;100%;c1:2.5,c2:2.5;0.09749646124758225;0.8792173453199364;28;216.76471042633057;1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);7;625;25%;c1:2.5,c2:2.5;0.09247188194982729;0.8891062929666843;25;54.21402835845947;1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);7;1250;50%;c1:2.5,c2:2.5;0.09247188194982729;0.8891062929666843;25;107.85575318336487;1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);7;1875;75%;c1:2.5,c2:2.5;0.09247188194982729;0.8891062929666843;25;161.83839559555054;1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);7;2500;100%;c1:2.5,c2:2.5;0.09247188194982729;0.8891062929666843;25;216.0409324169159;1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);8;625;25%;c1:2.5,c2:2.5;0.0844388487645153;0.9056054997355897;20;52.361648082733154;1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);8;1250;50%;c1:2.5,c2:2.5;0.0844388487645153;0.9056054997355897;20;104.76909971237183;1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);8;1875;75%;c1:2.5,c2:2.5;0.0844388487645153;0.9056054997355897;20;157.6726348400116;1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);8;2500;100%;c1:2.5,c2:2.5;0.0844388487645153;0.9056054997355897;20;210.98560404777527;1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);9;625;25%;c1:2.5,c2:2.5;0.08474820164731281;0.9055526176626124;22;52.31555390357971;1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);9;1250;50%;c1:2.5,c2:2.5;0.08474820164731281;0.9055526176626124;22;105.07725834846497;1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);9;1875;75%;c1:2.5,c2:2.5;0.08474820164731281;0.9055526176626124;22;158.22883367538452;1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);9;2500;100%;c1:2.5,c2:2.5;0.08474820164731281;0.9055526176626124;22;211.8054769039154;1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);10;625;25%;c1:2.5,c2:2.5;0.08901446650681305;0.9218402961396086;21;51.99056625366211;1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);10;1250;50%;c1:2.5,c2:2.5;0.08901446650681305;0.9218402961396086;21;104.26331686973572;1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);10;1875;75%;c1:2.5,c2:2.5;0.08901446650681305;0.9218402961396086;21;157.27393412590027;1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0;;
soybean-large-preprocessed;DPSO (Grid-Search Best);10;2500;100%;c1:2.5,c2:2.5;0.08901446650681305;0.9218402961396086;21;210.44766783714294;1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0;;
anneal-preprocessed;DPSO (Grid-Search Best);1;625;25%;c1:2.5,c2:2.5;0.06196640769515335;0.9410613207547168;9;51.924307107925415;1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0;;
